Franchise,No_of_Movies,Domestic_Box_Office,Infl_Adj_Dom_Box_Office,Worldwide_Box_Office,First_Year,Last_Year,No_of_Years
The Marine,4,18844784,26205944,22165608,2006,2015,9.0
Dungeons & Dragons,2,15185241,25590236,34681787,2000,2005,5.0
Vacancy,2,19063007,25241851,24363007,2007,2009,2.0
Wild Orchid,2,11573904,25006267,11573904,1990,1992,2.0
Skyline,2,21416355,24727883,68882159,2010,2017,7.0
Class of 1984,3,8365510,24605728,8365510,1982,1994,12.0
Far From Home,2,11392788,23861641,11392788,1989,1995,6.0
Leprechaun,4,10750531,23728106,10750531,1993,2018,25.0
Pure Country,2,10839136,23654662,10839136,1992,2010,18.0
Wrong Turn,6,15417771,23292849,28649556,2003,2014,11.0
Waiting,2,16124543,22916469,18673274,2005,2009,4.0
Wolf Creek,2,16186348,22881888,29170393,2005,2014,9.0
American Girl,6,17657973,22404469,17657973,2004,2015,11.0
Swan Princess,7,10007424,22197508,10115138,1994,2018,24.0
Philadelphia Experiment,2,8105330,21975033,8105330,1984,1993,9.0
No Manches Frida,2,20799533,21412610,49918736,2016,2019,3.0
Les Boys,3,11572073,21334098,11572073,1997,2001,4.0
Happily N'Ever After,2,15849032,20986142,38711306,2007,2009,2.0
Shaun the Sheep,3,19375982,20938925,133937710,2015,2019,4.0
See No Evil,2,15032800,20908206,18828036,2006,2014,8.0
Arthur and the Minimoys,3,15827035,20837303,198502059,2007,2015,8.0
Smoke,2,9628284,20164055,15128284,1995,1995,
Undisputed,4,12398628,19440877,12402560,2002,2017,15.0
My Hero Academia,2,18981417,18981417,57393941,2018,2019,1.0
Belly,2,9639390,18705180,9639390,1998,2008,10.0
Norm of the North,3,17062499,17969867,31627211,2016,2020,4.0
The Man With The Iron Fists,2,15634090,17892778,22018988,2012,2015,3.0
Best of the Best,2,7744652,17182599,7744652,1989,1993,4.0
The Collector,2,14522868,17162356,19363930,2009,2012,3.0
Molly Hartley,2,13442412,17055760,15318257,2008,2015,7.0
Tom yum goong,2,12046550,16754128,45131324,2006,2013,7.0
What the Bleep,2,11077507,16201333,11077507,2004,2006,2.0
Phantasm,5,7282851,16142765,7282851,1979,2016,37.0
Trois Couleurs,3,6831974,14884821,6845215,1993,1994,1.0
12 Rounds,3,12234694,14861079,17306648,2009,2015,6.0
My Little Pony,4,5958456,14631134,6502751,1986,2015,29.0
Bratz,5,10010209,13254795,25747223,2006,2008,2.0
Dhoom,3,10921297,13034060,51639703,2004,2013,9.0
Buena Vista Social Club,2,7121065,12666080,20152673,1999,2017,18.0
Boondock Saints,2,10303658,12511064,11041194,2000,2009,9.0
Jean de Florette,2,5504613,12350509,5504613,1987,1987,
City of God,2,7870473,11694889,34665848,2003,2008,5.0
Trailer Park Boys,3,8936791,11322327,8944680,2006,2014,8.0
Atlas Shrugged,3,8940096,10227205,8940096,2011,2014,3.0
The Condemned,2,7371706,9761073,7371706,2007,2015,8.0
Fire Earth Water,3,6559649,9624470,12353078,1997,2006,9.0
Work and the Glory,3,6697771,9485140,6697771,2004,2006,2.0
"Stepfather, The",2,4008536,9268578,4008536,1987,1989,2.0
Ladron que roba a ladron,2,7074759,8622032,8777680,2007,2015,8.0
Belle de Jour,2,4067177,8480672,4079204,1968,2007,39.0
Cities of Love,3,6445461,8360766,15016262,2007,2019,12.0
Serbuan maut,2,6730926,7626099,11923210,2012,2014,2.0
Ip Man,6,7088481,7266128,441575053,2010,2019,9.0
Left Behind,1,4221341,6794411,4221341,2001,2001,
The Snowman,2,6670765,6774879,43254979,2017,2018,1.0
The Trip,3,6062324,6713232,11421886,2011,2017,6.0
Ong-Bak,3,4680515,6626796,31660905,2005,2011,6.0
Goal,3,4508322,6242883,31869940,2006,2008,2.0
In The Name of the King,3,4775656,6059362,13233220,2008,2014,6.0
Elvis Gratton,1,3316272,5947090,3316272,1999,1999,
"No Retreat, No Surrender",2,2381199,5828451,2381199,1986,1989,3.0
State Property,2,3791425,5696602,3791425,2002,2005,3.0
Nitro,2,3768878,4990476,3768878,2007,2016,9.0
Dabangg,3,4298223,4854981,102737123,2010,2019,9.0
3 Hommes,2,1973605,4822032,1973605,1986,2003,17.0
Endless Summer,1,2155385,4812631,2155385,1994,1994,
Goon,2,4164911,4766625,7134300,2012,2017,5.0
Cruising Bar,1,3579013,4541053,3579013,2008,2008,
Aries Films,1,2000022,4390410,2000022,1992,1992,
8 Films to Die For,2,3185315,4371907,3185315,2006,2007,1.0
Asterix,4,2643871,4216855,195323996,1996,2012,16.0
Nueba Yol,2,2022827,4108674,2022827,1996,1997,1.0
Poison Ivy,2,1829804,4016745,1829804,1992,2009,17.0
DC Animated Movie Universe,39,3775000,3975750,4428007,2007,2020,13.0
Tanu Weds Manu,2,3283499,3564706,12169332,2011,2015,4.0
Laura Cadieux,2,1823384,3411823,1823384,1998,1999,1.0
Babar,2,1532561,3387763,1532561,1989,1999,10.0
Trois,2,2043793,3346586,2043793,2000,2002,2.0
BloodRayne,2,2405420,3345547,3711633,2006,2011,5.0
Penitentiary,2,949896,3026023,949896,1980,1982,2.0
Koi Mil Gaya,2,2111700,3018698,34183129,2003,2006,3.0
Dhamaal,3,2877617,3012420,37689451,2007,2019,12.0
Henry Fool,2,1461500,2760503,1461500,1998,2007,9.0
Night Watch,2,1961283,2697189,72784452,2006,2007,1.0
Baaghi,3,2479225,2502526,34417124,2016,2020,4.0
Detective Chinatown,3,2443816,2468263,665904465,2015,2020,5.0
Ghost in the Shell,2,1487475,2445634,1487475,1996,2004,8.0
Dans une galaxie pres de chez vous,1,1883999,2390418,1883999,2008,2008,
USA - Land of Opportunities,3,1604591,2348257,15394960,2004,2009,5.0
Donnie Darko,2,1480006,2146416,8549114,2001,2009,8.0
7 Up,4,1727415,2115869,1727415,1999,2019,20.0
Shiloh,2,1035175,2048238,1035175,1997,1999,2.0
The True North Trilogy,2,1821983,2031603,1910512,2014,2016,2.0
Saints and Soldiers,2,1310470,1914685,1310470,2004,2014,10.0
Singham,2,1577445,1770775,30050894,2011,2014,3.0
Banlieue 13,2,1236352,1711022,20386278,2006,2010,4.0
Jolly LLB,2,1654254,1680075,31262936,2013,2017,4.0
Restrepo,2,1432204,1649648,1531913,2010,2014,4.0
Visiteurs,2,805072,1641986,124900072,1996,1998,2.0
Ren zai jiong tu Tai jiong,2,1302281,1407322,442673381,2012,2015,3.0
Boys Life,3,738494,1371337,738494,1997,2003,6.0
Vengeance Trilogy,3,964301,1364022,29743500,2003,2006,3.0
Superfly,1,610402,1317716,610402,1990,1990,
Sarkar,1,1009065,1280301,17722998,2008,2008,
Epic Stories of the Bible,1,952820,1261653,1051907,2007,2007,
Nymphomaniac,2,1113063,1241110,2742936,2014,2014,
Taxi,5,729844,1233357,103552731,1998,2018,20.0
ABCD,2,1114231,1212960,11341415,2013,2015,2.0
Cremaster,2,665861,951995,682654,2003,2004,1.0
Generation Iron,2,849521,951922,901649,2013,2017,4.0
Cube,1,489220,950273,8969065,1998,1998,
Cage aux Folles,2,363989,915737,363989,1979,1986,7.0
Journey to the West,2,898404,914216,456733131,2013,2017,4.0
Detective Dee,3,825500,906721,187067303,2011,2018,7.0
The Spanish Apartment,3,712899,892580,32075112,2006,2014,8.0
Ex Files,2,837791,840607,344271614,2015,2017,2.0
Student of the Year,1,778566,778566,1057980,2019,2019,
Red Cliff,2,627047,755629,150127047,2009,2009,
The Monkey King,1,709982,747731,194058503,2016,2016,
Zhuo yao ji (Monster Hunt),2,738919,740653,720979406,2015,2018,3.0
The Act of Killing,2,596008,663353,1564647,2013,2015,2.0
Ai Weiwei,2,546396,623644,865078,2012,2014,2.0
Cold War,2,560824,590647,149778639,2012,2016,4.0
Bhoothnath,2,449776,570669,11532795,2008,2014,6.0
On Any Sunday,1,509916,568582,509916,2014,2014,
Attack on Titan,3,502150,542646,45369926,2014,2015,1.0
SLC Punk,2,299200,536552,299200,1999,2016,17.0
Seven Up!,1,300680,509695,300680,1999,1999,
Swamp Thing,2,192816,440232,274928,1982,1989,7.0
Apu Trilogy,3,402723,435203,402723,1956,1959,3.0
Golmaal,1,313102,397260,313102,2008,2008,
The Human Centipede,3,337906,388241,513014,2010,2015,5.0
OSS 117,1,303328,384861,23726439,2008,2008,
The Red Riding Trilogy,3,300470,346918,300470,2010,2010,
Hatchet,4,237281,303672,302396,2007,2017,10.0
In Search of,2,225000,297924,720945,2006,2009,3.0
Herb and Dorothy,2,233654,280133,233654,2009,2013,4.0
Tai Chi Zero,2,242924,277272,44806595,2012,2013,1.0
Monsters,2,237301,273992,5692480,2010,2015,5.0
